"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1998 March","State","Euro Thousand","4664605"
"Total Exports (Seasonally Adjusted)","1998 April","State","Euro Thousand","4675662"
"Total Exports (Seasonally Adjusted)","1998 May","State","Euro Thousand","4615579"
"Total Exports (Seasonally Adjusted)","1998 June","State","Euro Thousand","4780656"
"Total Exports (Seasonally Adjusted)","1998 July","State","Euro Thousand","4938523"
"Total Exports (Seasonally Adjusted)","1998 August","State","Euro Thousand","4939220"
"Total Exports (Seasonally Adjusted)","1998 September","State","Euro Thousand","4893101"
"Total Exports (Seasonally Adjusted)","1998 October","State","Euro Thousand","4726221"
"Total Exports (Seasonally Adjusted)","1998 November","State","Euro Thousand","5483018"
"Total Exports (Seasonally Adjusted)","1998 December","State","Euro Thousand","4881343"
"Total Exports (Seasonally Adjusted)","1999 January","State","Euro Thousand","5024236"
"Total Exports (Seasonally Adjusted)","1999 February","State","Euro Thousand","5201736"
"Total Exports (Seasonally Adjusted)","1999 March","State","Euro Thousand","4865848"
"Total Exports (Seasonally Adjusted)","1999 April","State","Euro Thousand","5327289"
"Total Exports (Seasonally Adjusted)","1999 May","State","Euro Thousand","5569011"
"Total Exports (Seasonally Adjusted)","1999 June","State","Euro Thousand","5129135"
"Total Exports (Seasonally Adjusted)","1999 July","State","Euro Thousand","5820073"
"Total Exports (Seasonally Adjusted)","1999 August","State","Euro Thousand","5762862"
"Total Exports (Seasonally Adjusted)","1999 September","State","Euro Thousand","5915572"
"Total Exports (Seasonally Adjusted)","1999 October","State","Euro Thousand","5982885"
"Total Exports (Seasonally Adjusted)","1999 November","State","Euro Thousand","5920686"
"Total Exports (Seasonally Adjusted)","1999 December","State","Euro Thousand","6451654"
"Total Exports (Seasonally Adjusted)","2000 January","State","Euro Thousand","5519700"
"Total Exports (Seasonally Adjusted)","2000 February","State","Euro Thousand","6196700"
"Total Exports (Seasonally Adjusted)","2000 March","State","Euro Thousand","6608600"
"Total Exports (Seasonally Adjusted)","2000 April","State","Euro Thousand","6376700"
"Total Exports (Seasonally Adjusted)","2000 May","State","Euro Thousand","6672800"
"Total Exports (Seasonally Adjusted)","2000 June","State","Euro Thousand","7014200"
"Total Exports (Seasonally Adjusted)","2000 July","State","Euro Thousand","6725100"
"Total Exports (Seasonally Adjusted)","2000 August","State","Euro Thousand","7351100"
"Total Exports (Seasonally Adjusted)","2000 September","State","Euro Thousand","7278500"
"Total Exports (Seasonally Adjusted)","2000 October","State","Euro Thousand","7819200"
"Total Exports (Seasonally Adjusted)","2000 November","State","Euro Thousand","8034300"
"Total Exports (Seasonally Adjusted)","2000 December","State","Euro Thousand","8148000"
"Total Exports (Seasonally Adjusted)","2001 January","State","Euro Thousand","7919500"
"Total Exports (Seasonally Adjusted)","2001 February","State","Euro Thousand","7636000"
"Total Exports (Seasonally Adjusted)","2001 March","State","Euro Thousand","7918000"
"Total Exports (Seasonally Adjusted)","2001 April","State","Euro Thousand","7501000"
"Total Exports (Seasonally Adjusted)","2001 May","State","Euro Thousand","6986200"
"Total Exports (Seasonally Adjusted)","2001 June","State","Euro Thousand","8156600"
"Total Exports (Seasonally Adjusted)","2001 July","State","Euro Thousand","8027800"
"Total Exports (Seasonally Adjusted)","2001 August","State","Euro Thousand","7837500"
"Total Exports (Seasonally Adjusted)","2001 September","State","Euro Thousand","7861800"
"Total Exports (Seasonally Adjusted)","2001 October","State","Euro Thousand","7901700"
"Total Exports (Seasonally Adjusted)","2001 November","State","Euro Thousand","7618500"
"Total Exports (Seasonally Adjusted)","2001 December","State","Euro Thousand","7371900"
"Total Exports (Seasonally Adjusted)","2002 January","State","Euro Thousand","8887700"
"Total Exports (Seasonally Adjusted)","2002 February","State","Euro Thousand","8220600"
"Total Exports (Seasonally Adjusted)","2002 March","State","Euro Thousand","8291100"
"Total Exports (Seasonally Adjusted)","2002 April","State","Euro Thousand","8065100"
"Total Exports (Seasonally Adjusted)","2002 May","State","Euro Thousand","9133500"
"Total Exports (Seasonally Adjusted)","2002 June","State","Euro Thousand","7093800"
"Total Exports (Seasonally Adjusted)","2002 July","State","Euro Thousand","7996500"
"Total Exports (Seasonally Adjusted)","2002 August","State","Euro Thousand","7335000"
"Total Exports (Seasonally Adjusted)","2002 September","State","Euro Thousand","7564000"
"Total Exports (Seasonally Adjusted)","2002 October","State","Euro Thousand","7185400"
"Total Exports (Seasonally Adjusted)","2002 November","State","Euro Thousand","7301500"
"Total Exports (Seasonally Adjusted)","2002 December","State","Euro Thousand","7173300"
"Total Exports (Seasonally Adjusted)","2003 January","State","Euro Thousand","6783400"
"Total Exports (Seasonally Adjusted)","2003 February","State","Euro Thousand","6944800"
"Total Exports (Seasonally Adjusted)","2003 March","State","Euro Thousand","6569600"
"Total Exports (Seasonally Adjusted)","2003 April","State","Euro Thousand","6777900"
"Total Exports (Seasonally Adjusted)","2003 May","State","Euro Thousand","6662200"
"Total Exports (Seasonally Adjusted)","2003 June","State","Euro Thousand","6760000"
"Total Exports (Seasonally Adjusted)","2003 July","State","Euro Thousand","6711000"
"Total Exports (Seasonally Adjusted)","2003 August","State","Euro Thousand","6720900"
"Total Exports (Seasonally Adjusted)","2003 September","State","Euro Thousand","7226800"
"Total Exports (Seasonally Adjusted)","2003 October","State","Euro Thousand","7270300"
"Total Exports (Seasonally Adjusted)","2003 November","State","Euro Thousand","7110100"
"Total Exports (Seasonally Adjusted)","2003 December","State","Euro Thousand","7005400"
"Total Exports (Seasonally Adjusted)","2004 January","State","Euro Thousand","6594800"
"Total Exports (Seasonally Adjusted)","2004 February","State","Euro Thousand","7239500"
"Total Exports (Seasonally Adjusted)","2004 March","State","Euro Thousand","7383900"
"Total Exports (Seasonally Adjusted)","2004 April","State","Euro Thousand","7239200"
"Total Exports (Seasonally Adjusted)","2004 May","State","Euro Thousand","6609700"
"Total Exports (Seasonally Adjusted)","2004 June","State","Euro Thousand","7150100"
"Total Exports (Seasonally Adjusted)","2004 July","State","Euro Thousand","7108900"
"Total Exports (Seasonally Adjusted)","2004 August","State","Euro Thousand","7228000"
"Total Exports (Seasonally Adjusted)","2004 September","State","Euro Thousand","6832700"
"Total Exports (Seasonally Adjusted)","2004 October","State","Euro Thousand","6823600"
"Total Exports (Seasonally Adjusted)","2004 November","State","Euro Thousand","7228900"
"Total Exports (Seasonally Adjusted)","2004 December","State","Euro Thousand","7268100"
"Total Exports (Seasonally Adjusted)","2005 January","State","Euro Thousand","7042300"
"Total Exports (Seasonally Adjusted)","2005 February","State","Euro Thousand","7121300"
"Total Exports (Seasonally Adjusted)","2005 March","State","Euro Thousand","6937800"
"Total Exports (Seasonally Adjusted)","2005 April","State","Euro Thousand","7402200"
"Total Exports (Seasonally Adjusted)","2005 May","State","Euro Thousand","7337500"
"Total Exports (Seasonally Adjusted)","2005 June","State","Euro Thousand","7176400"
"Total Exports (Seasonally Adjusted)","2005 July","State","Euro Thousand","7102700"
"Total Exports (Seasonally Adjusted)","2005 August","State","Euro Thousand","7256200"
"Total Exports (Seasonally Adjusted)","2005 September","State","Euro Thousand","7521400"
"Total Exports (Seasonally Adjusted)","2005 October","State","Euro Thousand","7210400"
"Total Exports (Seasonally Adjusted)","2005 November","State","Euro Thousand","7527200"
"Total Exports (Seasonally Adjusted)","2005 December","State","Euro Thousand","7492700"
"Total Exports (Seasonally Adjusted)","2006 January","State","Euro Thousand","7540300"
"Total Exports (Seasonally Adjusted)","2006 February","State","Euro Thousand","7021000"
"Total Exports (Seasonally Adjusted)","2006 March","State","Euro Thousand","7244200"
"Total Exports (Seasonally Adjusted)","2006 April","State","Euro Thousand","6568300"
"Total Exports (Seasonally Adjusted)","2006 May","State","Euro Thousand","7791700"
"Total Exports (Seasonally Adjusted)","2006 June","State","Euro Thousand","7093400"
"Total Exports (Seasonally Adjusted)","2006 July","State","Euro Thousand","7457400"
"Total Exports (Seasonally Adjusted)","2006 August","State","Euro Thousand","7697800"
"Total Exports (Seasonally Adjusted)","2006 September","State","Euro Thousand","7305500"
"Total Exports (Seasonally Adjusted)","2006 October","State","Euro Thousand","7656800"
"Total Exports (Seasonally Adjusted)","2006 November","State","Euro Thousand","7031300"
"Total Exports (Seasonally Adjusted)","2006 December","State","Euro Thousand","7325300"
"Total Exports (Seasonally Adjusted)","2007 January","State","Euro Thousand","7527500"
"Total Exports (Seasonally Adjusted)","2007 February","State","Euro Thousand","7587100"
"Total Exports (Seasonally Adjusted)","2007 March","State","Euro Thousand","7672500"
"Total Exports (Seasonally Adjusted)","2007 April","State","Euro Thousand","7829600"
"Total Exports (Seasonally Adjusted)","2007 May","State","Euro Thousand","7741800"
"Total Exports (Seasonally Adjusted)","2007 June","State","Euro Thousand","7822600"
"Total Exports (Seasonally Adjusted)","2007 July","State","Euro Thousand","7727600"
"Total Exports (Seasonally Adjusted)","2007 August","State","Euro Thousand","7541800"
"Total Exports (Seasonally Adjusted)","2007 September","State","Euro Thousand","7342100"
"Total Exports (Seasonally Adjusted)","2007 October","State","Euro Thousand","7714000"
"Total Exports (Seasonally Adjusted)","2007 November","State","Euro Thousand","7626000"
"Total Exports (Seasonally Adjusted)","2007 December","State","Euro Thousand","6498100"
"Total Exports (Seasonally Adjusted)","2008 January","State","Euro Thousand","7510300"
"Total Exports (Seasonally Adjusted)","2008 February","State","Euro Thousand","7805300"
"Total Exports (Seasonally Adjusted)","2008 March","State","Euro Thousand","7308500"
"Total Exports (Seasonally Adjusted)","2008 April","State","Euro Thousand","7063100"
"Total Exports (Seasonally Adjusted)","2008 May","State","Euro Thousand","7499500"
"Total Exports (Seasonally Adjusted)","2008 June","State","Euro Thousand","7305100"
"Total Exports (Seasonally Adjusted)","2008 July","State","Euro Thousand","7522700"
"Total Exports (Seasonally Adjusted)","2008 August","State","Euro Thousand","7407700"
"Total Exports (Seasonally Adjusted)","2008 September","State","Euro Thousand","7460300"
"Total Exports (Seasonally Adjusted)","2008 October","State","Euro Thousand","7561700"
"Total Exports (Seasonally Adjusted)","2008 November","State","Euro Thousand","7364900"
"Total Exports (Seasonally Adjusted)","2008 December","State","Euro Thousand","7010100"
"Total Exports (Seasonally Adjusted)","2009 January","State","Euro Thousand","7447800"
"Total Exports (Seasonally Adjusted)","2009 February","State","Euro Thousand","8147800"
"Total Exports (Seasonally Adjusted)","2009 March","State","Euro Thousand","7635300"
"Total Exports (Seasonally Adjusted)","2009 April","State","Euro Thousand","8136300"
"Total Exports (Seasonally Adjusted)","2009 May","State","Euro Thousand","7422600"
"Total Exports (Seasonally Adjusted)","2009 June","State","Euro Thousand","7901500"
"Total Exports (Seasonally Adjusted)","2009 July","State","Euro Thousand","7312000"
"Total Exports (Seasonally Adjusted)","2009 August","State","Euro Thousand","6896100"
"Total Exports (Seasonally Adjusted)","2009 September","State","Euro Thousand","7575600"
"Total Exports (Seasonally Adjusted)","2009 October","State","Euro Thousand","6620900"
"Total Exports (Seasonally Adjusted)","2009 November","State","Euro Thousand","6832300"
"Total Exports (Seasonally Adjusted)","2009 December","State","Euro Thousand","6251200"
"Total Exports (Seasonally Adjusted)","2010 January","State","Euro Thousand","7408800"
"Total Exports (Seasonally Adjusted)","2010 February","State","Euro Thousand","7129800"
"Total Exports (Seasonally Adjusted)","2010 March","State","Euro Thousand","6929100"
"Total Exports (Seasonally Adjusted)","2010 April","State","Euro Thousand","7331600"
"Total Exports (Seasonally Adjusted)","2010 May","State","Euro Thousand","7892100"
"Total Exports (Seasonally Adjusted)","2010 June","State","Euro Thousand","7325400"
"Total Exports (Seasonally Adjusted)","2010 July","State","Euro Thousand","7872400"
"Total Exports (Seasonally Adjusted)","2010 August","State","Euro Thousand","7575900"
"Total Exports (Seasonally Adjusted)","2010 September","State","Euro Thousand","7802300"
"Total Exports (Seasonally Adjusted)","2010 October","State","Euro Thousand","7988800"
"Total Exports (Seasonally Adjusted)","2010 November","State","Euro Thousand","7480600"
"Total Exports (Seasonally Adjusted)","2010 December","State","Euro Thousand","8027300"
"Total Exports (Seasonally Adjusted)","2011 January","State","Euro Thousand","7858100"
"Total Exports (Seasonally Adjusted)","2011 February","State","Euro Thousand","8333100"
"Total Exports (Seasonally Adjusted)","2011 March","State","Euro Thousand","7912000"
"Total Exports (Seasonally Adjusted)","2011 April","State","Euro Thousand","7944900"
"Total Exports (Seasonally Adjusted)","2011 May","State","Euro Thousand","7693600"
"Total Exports (Seasonally Adjusted)","2011 June","State","Euro Thousand","7853200"
"Total Exports (Seasonally Adjusted)","2011 July","State","Euro Thousand","7346000"
"Total Exports (Seasonally Adjusted)","2011 August","State","Euro Thousand","7455400"
"Total Exports (Seasonally Adjusted)","2011 September","State","Euro Thousand","7641700"
"Total Exports (Seasonally Adjusted)","2011 October","State","Euro Thousand","7757500"
"Total Exports (Seasonally Adjusted)","2011 November","State","Euro Thousand","8019000"
"Total Exports (Seasonally Adjusted)","2011 December","State","Euro Thousand","7503400"
"Total Exports (Seasonally Adjusted)","2012 January","State","Euro Thousand","8424200"
"Total Exports (Seasonally Adjusted)","2012 February","State","Euro Thousand","7577900"
"Total Exports (Seasonally Adjusted)","2012 March","State","Euro Thousand","7835400"
"Total Exports (Seasonally Adjusted)","2012 April","State","Euro Thousand","7436900"
"Total Exports (Seasonally Adjusted)","2012 May","State","Euro Thousand","7624600"
"Total Exports (Seasonally Adjusted)","2012 June","State","Euro Thousand","7646000"
"Total Exports (Seasonally Adjusted)","2012 July","State","Euro Thousand","8086100"
"Total Exports (Seasonally Adjusted)","2012 August","State","Euro Thousand","8465500"
"Total Exports (Seasonally Adjusted)","2012 September","State","Euro Thousand","7754900"
"Total Exports (Seasonally Adjusted)","2012 October","State","Euro Thousand","7606800"
"Total Exports (Seasonally Adjusted)","2012 November","State","Euro Thousand","7780500"
"Total Exports (Seasonally Adjusted)","2012 December","State","Euro Thousand","7083800"
"Total Exports (Seasonally Adjusted)","2013 January","State","Euro Thousand","7237500"
"Total Exports (Seasonally Adjusted)","2013 February","State","Euro Thousand","7237600"
"Total Exports (Seasonally Adjusted)","2013 March","State","Euro Thousand","7706700"
"Total Exports (Seasonally Adjusted)","2013 April","State","Euro Thousand","7628700"
"Total Exports (Seasonally Adjusted)","2013 May","State","Euro Thousand","7002800"
"Total Exports (Seasonally Adjusted)","2013 June","State","Euro Thousand","7475800"
"Total Exports (Seasonally Adjusted)","2013 July","State","Euro Thousand","7682800"
"Total Exports (Seasonally Adjusted)","2013 August","State","Euro Thousand","7366900"
"Total Exports (Seasonally Adjusted)","2013 September","State","Euro Thousand","7513500"
"Total Exports (Seasonally Adjusted)","2013 October","State","Euro Thousand","7441400"
"Total Exports (Seasonally Adjusted)","2013 November","State","Euro Thousand","7344900"
"Total Exports (Seasonally Adjusted)","2013 December","State","Euro Thousand","7615400"
"Total Exports (Seasonally Adjusted)","2014 January","State","Euro Thousand","7162400"
"Total Exports (Seasonally Adjusted)","2014 February","State","Euro Thousand","7390400"
"Total Exports (Seasonally Adjusted)","2014 March","State","Euro Thousand","7355000"
"Total Exports (Seasonally Adjusted)","2014 April","State","Euro Thousand","7201500"
"Total Exports (Seasonally Adjusted)","2014 May","State","Euro Thousand","8041200"
"Total Exports (Seasonally Adjusted)","2014 June","State","Euro Thousand","7791700"
"Total Exports (Seasonally Adjusted)","2014 July","State","Euro Thousand","7328300"
"Total Exports (Seasonally Adjusted)","2014 August","State","Euro Thousand","8258200"
"Total Exports (Seasonally Adjusted)","2014 September","State","Euro Thousand","8036700"
"Total Exports (Seasonally Adjusted)","2014 October","State","Euro Thousand","7646800"
"Total Exports (Seasonally Adjusted)","2014 November","State","Euro Thousand","7857100"
"Total Exports (Seasonally Adjusted)","2014 December","State","Euro Thousand","8586600"
"Total Exports (Seasonally Adjusted)","2015 January","State","Euro Thousand","8643000"
"Total Exports (Seasonally Adjusted)","2015 February","State","Euro Thousand","8826300"
"Total Exports (Seasonally Adjusted)","2015 March","State","Euro Thousand","8895700"
"Total Exports (Seasonally Adjusted)","2015 April","State","Euro Thousand","9393400"
"Total Exports (Seasonally Adjusted)","2015 May","State","Euro Thousand","9351600"
"Total Exports (Seasonally Adjusted)","2015 June","State","Euro Thousand","9214400"
"Total Exports (Seasonally Adjusted)","2015 July","State","Euro Thousand","9267700"
"Total Exports (Seasonally Adjusted)","2015 August","State","Euro Thousand","9356300"
"Total Exports (Seasonally Adjusted)","2015 September","State","Euro Thousand","9261500"
"Total Exports (Seasonally Adjusted)","2015 October","State","Euro Thousand","10787600"
"Total Exports (Seasonally Adjusted)","2015 November","State","Euro Thousand","9920000"
"Total Exports (Seasonally Adjusted)","2015 December","State","Euro Thousand","9618500"
"Total Exports (Seasonally Adjusted)","2016 January","State","Euro Thousand","9470191"
"Total Exports (Seasonally Adjusted)","2016 February","State","Euro Thousand","8545663"
"Total Exports (Seasonally Adjusted)","2016 March","State","Euro Thousand","9545350"
"Total Exports (Seasonally Adjusted)","2016 April","State","Euro Thousand","9790629"
"Total Exports (Seasonally Adjusted)","2016 May","State","Euro Thousand","9559204"
"Total Exports (Seasonally Adjusted)","2016 June","State","Euro Thousand","10128420"
"Total Exports (Seasonally Adjusted)","2016 July","State","Euro Thousand","10041894"
"Total Exports (Seasonally Adjusted)","2016 August","State","Euro Thousand","10640547"
"Total Exports (Seasonally Adjusted)","2016 September","State","Euro Thousand","10145009"
"Total Exports (Seasonally Adjusted)","2016 October","State","Euro Thousand","10806080"
"Total Exports (Seasonally Adjusted)","2016 November","State","Euro Thousand","10578783"
"Total Exports (Seasonally Adjusted)","2016 December","State","Euro Thousand","9632499"
"Total Exports (Seasonally Adjusted)","2017 January","State","Euro Thousand","10331209"
"Total Exports (Seasonally Adjusted)","2017 February","State","Euro Thousand","10686083"
"Total Exports (Seasonally Adjusted)","2017 March","State","Euro Thousand","10834277"
"Total Exports (Seasonally Adjusted)","2017 April","State","Euro Thousand","10411708"
"Total Exports (Seasonally Adjusted)","2017 May","State","Euro Thousand","10156603"
"Total Exports (Seasonally Adjusted)","2017 June","State","Euro Thousand","9797340"
"Total Exports (Seasonally Adjusted)","2017 July","State","Euro Thousand","9972968"
"Total Exports (Seasonally Adjusted)","2017 August","State","Euro Thousand","10038298"
"Total Exports (Seasonally Adjusted)","2017 September","State","Euro Thousand","10062164"
"Total Exports (Seasonally Adjusted)","2017 October","State","Euro Thousand","9970105"
"Total Exports (Seasonally Adjusted)","2017 November","State","Euro Thousand","10305065"
"Total Exports (Seasonally Adjusted)","2017 December","State","Euro Thousand","10615118"
"Total Exports (Seasonally Adjusted)","2018 January","State","Euro Thousand","11649211"
"Total Exports (Seasonally Adjusted)","2018 February","State","Euro Thousand","10854676"
"Total Exports (Seasonally Adjusted)","2018 March","State","Euro Thousand","10707083"
"Total Exports (Seasonally Adjusted)","2018 April","State","Euro Thousand","11273083"
"Total Exports (Seasonally Adjusted)","2018 May","State","Euro Thousand","11542360"
"Total Exports (Seasonally Adjusted)","2018 June","State","Euro Thousand","12070224"
"Total Exports (Seasonally Adjusted)","2018 July","State","Euro Thousand","11713748"
"Total Exports (Seasonally Adjusted)","2018 August","State","Euro Thousand","11722069"
"Total Exports (Seasonally Adjusted)","2018 September","State","Euro Thousand","12258037"
"Total Exports (Seasonally Adjusted)","2018 October","State","Euro Thousand","11897848"
"Total Exports (Seasonally Adjusted)","2018 November","State","Euro Thousand","12146008"
"Total Exports (Seasonally Adjusted)","2018 December","State","Euro Thousand","12745252"
"Total Exports (Seasonally Adjusted)","2019 January","State","Euro Thousand","12978084"
"Total Exports (Seasonally Adjusted)","2019 February","State","Euro Thousand","13061731"
"Total Exports (Seasonally Adjusted)","2019 March","State","Euro Thousand","11540862"
"Total Exports (Seasonally Adjusted)","2019 April","State","Euro Thousand","12712375"
"Total Exports (Seasonally Adjusted)","2019 May","State","Euro Thousand","12672249"
"Total Exports (Seasonally Adjusted)","2019 June","State","Euro Thousand","12313510"
"Total Exports (Seasonally Adjusted)","2019 July","State","Euro Thousand","13292812"
"Total Exports (Seasonally Adjusted)","2019 August","State","Euro Thousand","12488035"
"Total Exports (Seasonally Adjusted)","2019 September","State","Euro Thousand","12762688"
"Total Exports (Seasonally Adjusted)","2019 October","State","Euro Thousand","14110012"
"Total Exports (Seasonally Adjusted)","2019 November","State","Euro Thousand","12414131"
"Total Exports (Seasonally Adjusted)","2019 December","State","Euro Thousand","12381250"
"Total Exports (Seasonally Adjusted)","2020 January","State","Euro Thousand","13671992"
"Total Exports (Seasonally Adjusted)","2020 February","State","Euro Thousand","12130019"
"Total Exports (Seasonally Adjusted)","2020 March","State","Euro Thousand","16784414"
"Total Exports (Seasonally Adjusted)","2020 April","State","Euro Thousand","11363896"
"Total Exports (Seasonally Adjusted)","2020 May","State","Euro Thousand","12900620"
"Total Exports (Seasonally Adjusted)","2020 June","State","Euro Thousand","12980346"
"Total Exports (Seasonally Adjusted)","2020 July","State","Euro Thousand","13165653"
"Total Exports (Seasonally Adjusted)","2020 August","State","Euro Thousand","14113303"
"Total Exports (Seasonally Adjusted)","2020 September","State","Euro Thousand","13600696"
"Total Exports (Seasonally Adjusted)","2020 October","State","Euro Thousand","12386631"
"Total Exports (Seasonally Adjusted)","2020 November","State","Euro Thousand","14521566"
"Total Exports (Seasonally Adjusted)","2020 December","State","Euro Thousand","12972200"
"Total Exports (Seasonally Adjusted)","2021 January","State","Euro Thousand","13862300"
"Total Exports (Seasonally Adjusted)","2021 February","State","Euro Thousand","12839300"
"Total Exports (Seasonally Adjusted)","2021 March","State","Euro Thousand","13007900"
"Total Exports (Seasonally Adjusted)","2021 April","State","Euro Thousand","12349400"
"Total Exports (Seasonally Adjusted)","2021 May","State","Euro Thousand","13706000"
"Total Exports (Seasonally Adjusted)","2021 June","State","Euro Thousand","13919800"
"Total Exports (Seasonally Adjusted)","2021 July","State","Euro Thousand","13412700"
"Total Exports (Seasonally Adjusted)","2021 August","State","Euro Thousand","13971800"
"Total Exports (Seasonally Adjusted)","2021 September","State","Euro Thousand","14224900"
"Total Exports (Seasonally Adjusted)","2021 October","State","Euro Thousand","15437400"
"Total Exports (Seasonally Adjusted)","2021 November","State","Euro Thousand","14767700"
"Total Exports (Seasonally Adjusted)","2021 December","State","Euro Thousand","13608400"
"Total Exports (Seasonally Adjusted)","2022 January","State","Euro Thousand","16678900"
"Total Exports (Seasonally Adjusted)","2022 February","State","Euro Thousand","16542600"
"Total Exports (Seasonally Adjusted)","2022 March","State","Euro Thousand","18566600"
"Total Exports (Seasonally Adjusted)","2022 April","State","Euro Thousand","17358400"
"Total Exports (Seasonally Adjusted)","2022 May","State","Euro Thousand","18038800"
"Total Exports (Seasonally Adjusted)","2022 June","State","Euro Thousand","16643400"
"Total Exports (Seasonally Adjusted)","2022 July","State","Euro Thousand","15628900"
"Total Exports (Seasonally Adjusted)","2022 August","State","Euro Thousand","19289400"
"Total Exports (Seasonally Adjusted)","2022 September","State","Euro Thousand","18641700"
"Total Exports (Seasonally Adjusted)","2022 October","State","Euro Thousand","18094500"
"Total Exports (Seasonally Adjusted)","2022 November","State","Euro Thousand","16215500"
"Total Exports (Seasonally Adjusted)","2022 December","State","Euro Thousand","16432500"
"Total Exports (Seasonally Adjusted)","2023 January","State","Euro Thousand","15985300"
"Total Exports (Seasonally Adjusted)","2023 February","State","Euro Thousand","17408300"
"Total Exports (Seasonally Adjusted)","2023 March","State","Euro Thousand","16582300"
"Total Exports (Seasonally Adjusted)","2023 April","State","Euro Thousand","16332800"
"Total Exports (Seasonally Adjusted)","2023 May","State","Euro Thousand","15730400"
"Total Exports (Seasonally Adjusted)","2023 June","State","Euro Thousand","17196000"
"Total Exports (Seasonally Adjusted)","2023 July","State","Euro Thousand","16420900"
"Total Exports (Seasonally Adjusted)","2023 August","State","Euro Thousand","16492600"
"Total Exports (Seasonally Adjusted)","2023 September","State","Euro Thousand","15481600"
"Total Exports (Seasonally Adjusted)","2023 October","State","Euro Thousand","17725500"
"Total Exports (Seasonally Adjusted)","2023 November","State","Euro Thousand","15431700"
"Total Exports (Seasonally Adjusted)","2023 December","State","Euro Thousand","15747800"
"Total Exports (Seasonally Adjusted)","2024 January","State","Euro Thousand","18135200"
"Total Exports (Seasonally Adjusted)","2024 February","State","Euro Thousand","17708100"
"Total Exports (Seasonally Adjusted)","2024 March","State","Euro Thousand","18179900"
"Total Exports (Seasonally Adjusted)","2024 April","State","Euro Thousand","19147400"
"Total Exports (Seasonally Adjusted)","2024 May","State","Euro Thousand","17242700"
"Total Exports (Seasonally Adjusted)","2024 June","State","Euro Thousand","17042000"
"Total Exports (Seasonally Adjusted)","2024 July","State","Euro Thousand","17867200"
"Total Exports (Seasonally Adjusted)","2024 August","State","Euro Thousand","18007600"
"Total Exports (Seasonally Adjusted)","2024 September","State","Euro Thousand","22015900"
"Total Exports (Seasonally Adjusted)","2024 October","State","Euro Thousand","20779800"
"Total Exports (Seasonally Adjusted)","2024 November","State","Euro Thousand","19800000"
"Total Exports (Seasonally Adjusted)","2024 December","State","Euro Thousand","17897400"
"Total Exports (Seasonally Adjusted)","2025 January","State","Euro Thousand","23557700"
"Total Exports (Seasonally Adjusted)","2025 February","State","Euro Thousand","25725400"
"Total Exports (Seasonally Adjusted)","2025 March","State","Euro Thousand","35456900"
"Total Exports (Seasonally Adjusted)","2025 April","State","Euro Thousand","21361300"
"Total Exports (Seasonally Adjusted)","2025 May","State","Euro Thousand","22944800"
"Total Exports (Seasonally Adjusted)","2025 June","State","Euro Thousand","16467000"
"Total Exports (Seasonally Adjusted)","2025 July","State","Euro Thousand","17046600"
"Total Exports (Seasonally Adjusted)","2025 August","State","Euro Thousand","16980000"
"Total Exports (Seasonally Adjusted)","2025 September","State","Euro Thousand","27355400"
"Total Exports (Seasonally Adjusted)","2025 October","State","Euro Thousand","15669500"
"Total Exports (Seasonally Adjusted)","2025 November","State","Euro Thousand","17085100"
"Total Exports (Seasonally Adjusted)","2025 December","State","Euro Thousand","17141100"
"Total Exports (Seasonally Adjusted)","2026 January","State","Euro Thousand","16338400"
"Total Exports (Seasonally Adjusted)","2026 February","State","Euro Thousand","16240900"
